English,Polish
morning,rano
trying,próbowaæ
boy,ch³opak
together,razem
yourself,siê
job,stanowisko
saw,widzia³
family,rodzina
real,prawdziwy
without,bez
baby,dziecko
room,pokój
wouldn,by
already,ju¿
move,ruszaj siê
most,bardzo
seen,widziany
live,relacja na ¿ywo
miss,têskniæ
actually,w³aœciwie
huh,huh
shit,gówno
both,zarówno
heard,us³ysza³
once,raz
ready,gotowy
head,g³owa
called,nazywa
used,u¿ywany
idea,pomys³
knew,wiedzia³em
hold,utrzymaæ
happy,szczêœliwy
door,drzwi
such,taki
fuck,pierdoliæ
brother,brat
also,równie¿
pretty,³adny
bit,fragment
took,wziê³a
haven,przystañ
yet,ju¿
men,mê¿czyŸni
whole,ca³y
start,pocz¹tek
use,pos³ugiwaæ siê
while,podczas gdy
since,odk¹d
wife,¿ona
days,dni
guess,zgadywaæ
tomorrow,jutro
matter,materia³
meet,spotykaæ siê
bring,przynieœæ
tonight,dziœ wieczorem
everyone,ka¿dy
run,biegaæ
wanna,chcieæ
hard,ciê¿ko
ah,ah
alone,sam
myself,ja
school,szko³a
gone,odszed³
um,um
end,koniec
saying,powiedzenie
phone,telefon
play,bawiæ siê
looks,wygl¹d
couldn,czy móg³
fucking,pierdolony
problem,problem
few,ma³o
friends,przyjaciele
gotta,musieæ
ago,temu
open,otwarty
anyone,ktokolwiek
killed,zabity
hope,nadzieja
face,twarz
until,a¿ do
lost,stracony
police,policja
excuse,wymówka
turn,skrêcaæ
business,biznes
case,walizka
wants,chce
says,mówi
TRUE,PRAWDA
die,umieraæ
heart,serce
soon,wkrótce
each,ka¿dy
worry,martwiæ siê
later,póŸniej
year,rok
watch,zegarek
music,muzyka
hand,rêka
having,maj¹cy
probably,prawdopodobnie
beautiful,piêkny
doctor,lekarz
sit,siedzieæ
eat,jeœæ
thinking,myœl¹cy
young,m³ody
second,druga
working,pracuj¹cy
water,woda
person,osoba
part,czêœæ
kids,dzieci
late,póŸno
stuff,rzeczy
exactly,dok³adnie
under,pod
death,œmieræ
minute,minuta
pay,p³aciæ
crazy,zwariowany
forget,zapominaæ
everybody,wszyscy
kid,dziecko
change,zmiana
gave,da³
happen,zdarzyæ
damn,cholerny
five,piêæ
drink,drink
far,daleko
knows,wie
its,jego
whatever,cokolwiek
eyes,oczy
shut,zamkn¹æ
aren,aren
hit,uderzyæ
taking,nabieraj¹cy
easy,³atwo
times,czasy
check,sprawdzaæ
hands,rêce
minutes,minuty
deal,sprawa
different,ró¿ne
means,oznacza
point,punkt
inside,w œrodku
makes,robi
asked,spyta³
somebody,ktoœ
mine,moje
making,zrobienie
body,cia³o
afraid,przestraszony
sleep,spaæ
chance,szansa
dear,droga
quite,ca³kiem
four,cztery
anyway,w ka¿dym razie
close,blisko
ain,ain
party,przyjêcie
fun,zabawa
against,przeciwko
word,s³owo
comes,pochodzi
important,wa¿ny
set,ustawiæ
shall,byæ
story,fabu³a
number,numer
daughter,córka
least,najmniej
waiting,czekanie
hurt,zraniony
wish,¿yczenie
moment,za chwilê
fight,walka
week,tydzieñ
husband,m¹¿
girls,dziewczyny
rest,reszta
married,¿onaty
fire,ogieñ
game,gra
nobody,nikt
mr,pan
children,dzieci
side,bok
stand,stoisko
read,czytaæ
though,chocia¿
cut,skaleczenie
started,zaczê³a siê
sister,siostra
supposed,przypuszczalny
between,pomiêdzy
child,dziecko
goes,idzie
hours,godziny
speak,mówiæ
women,kobiety
behind,za
almost,prawie
truth,PRAWDA
blood,krew
able,zdolny
lady,dama
anymore,nie wiêcej
playing,gra
gets,dostaje
shot,strza³
reason,powód
trouble,k³opot
break,przerwanie
war,wojna
city,miasto
walk,spcerowaæ
town,miasto
trust,zaufanie
dr.,dr.
met,spotka³
office,gabinet
question,pytanie
brought,przyniós³
yours,twój
welcome,witam
high,wysoki
wow,wow
couple,para
half,po³owa
died,zmar³
cool,fajny
free,darmowy
either,zarówno
seems,wydaje siê
power,moc
whoa,whoa
bye,pa
buy,kup
telling,wymowny
honey,miód
tried,wypróbowany
front,przód
team,zespó³
answer,odpowiadaæ
gun,pistolet
boys,ch³opcy
line,linia
send,wys³aæ
news,aktualnoœci
stupid,g³upi
bed,³ó¿ko
hurry,spieszyæ siê
full,pe³ny
months,miesi¹ce
save,ratowaæ
sometimes,czasami
become,staæ siê
along,przed siebie
hate,nienawidziæ
food,jedzenie
outside,poza
light,œwiat³o
l,l
needs,wymagania
dog,pies
country,kraj
clear,jasne
order,zamówienie
em,em
fact,fakt
lord,lord
captain,kapitan
six,szeœæ
hot,gor¹cy
funny,zabawny
black,czarny
mrs.,pani.
alive,¿ywy
pick,wybieraæ
feeling,uczucie
living,¿yj¹cy
cause,przyczyna
ahead,dalej
lose,straciæ
king,król
plan,plan
dinner,obiad
sighs,wzdycha
sort,sortowaæ
leaving,odjazd
shouldn,powinien
running,dzia³anie
boss,szef
alright,w porz¹dku
promise,obietnica
taken,zajêty
safe,bezpieczny
ma,mama
book,ksi¹¿ka
sent,wys³ano
white,bia³y
hour,godzina
anybody,ktoœ
small,ma³y
perfect,idealny
cause,przyczyna
lives,zyje
special,specjalny
parents,rodzice
s,s
john,jan
himself,samego siebie
perhaps,byæ mo¿e
sounds,dŸwiêki
serious,powa¿ny
sick,chory
company,firma
ha,ha
scared,przestraszony
uncle,wujek
poor,s³aby
red,czerwony
past,po
earth,ziemia
possible,mo¿liwy
shoot,strzelaæ
touch,dotykaæ
sound,dŸwiêk
top,top
ass,ty³ek
laughs,œmiech
cannot,nie mogê
asking,pytaj¹c
win,wygraæ
glad,zadowolony
control,kontrola
hmm,hmm
human,cz³owiek
drive,prowadziæ
hair,w³osy
jack,jacek
bitch,suka
luck,szczêœcie
murder,morderstwo
happens,dzieje siê
air,powietrze
ten,dziesiêæ
daddy,tatuœ
finally,wreszcie
chuckles,chichocze
fast,szybki
cold,przeziêbienie
seem,wydaæ siê
laughing,œmiaæ siê
words,s³owa
hospital,szpital
street,ulica
hang,powiesiæ
dance,taniec
meeting,spotkanie
till,do
others,inni
catch,z³apaæ
follow,œledziæ
sense,sens
sex,seks
lie,k³amstwo
evening,wieczór
master,gospodarz
known,znany
dream,œniæ
write,pisaæ
million,milion
voice,g³os
sweet,s³odkie
rather,raczej
felt,filc
sign,podpisaæ
lucky,szczêœciarz
somewhere,gdzieœ
bet,zak³ad
o,o
jesus,jezus
longer,d³u¿ej
calling,powo³anie
worked,pracowa³
quiet,cichy
looked,wygl¹da³
less,mniej
pull,ci¹gn¹æ
beat,biæ
careful,ostro¿ny
coffee,kawa
return,zwróciæ
secret,sekret
weeks,tygodnie
weren,weren
date,data
seeing,widzenie
fall,spadek
given,dany
ooh,ooh
fault,wada
straight,proste
takes,trwa
song,utwór muzyczny
future,przysz³y
gentlemen,panowie
loved,kochany
changed,zmienione
road,droga
calm,spokojna
wonderful,wspaniale
mad,szalony
turned,obrócony
drop,upuszczaæ
ladies,damski
learn,uczyæ siê
step,krok
absolutely,absolutnie
early,wczesny
explain,wyjaœniæ
clean,czysty
piece,kawa³ek
yesterday,wczoraj
throw,rzuciæ
picture,obrazek
land,grunt
feet,stopy
wonder,cud
questions,pytania
speaking,mówienie
worth,wartoœæ
darling,kochanie
dude,koleœ
giving,daj¹cy
president,prezydent
eye,oko
quick,szybki
moving,poruszaj¹cy
figure,postaæ
state,pañstwo
strong,silny
sam,sam
none,¿aden
amazing,zdumiewaj¹cy
ones,te
works,pracuje
act,akt
needed,potrzebne
weird,dziwny
law,prawo
worried,zmartwiony
report,raport
goodbye,do widzenia
missing,zaginiony
choice,wybór
happening,wydarzenie
chief,szef
wedding,œlub
strange,dziwny
general,ogólny
pain,ból
am,jestem
kidding,¿art
decided,zdecydowany
ya,ya
pass,podawaæ
tired,zmêczony
class,klasa
officer,oficer
kept,trzymane
wake,budziæ
worse,gorzej
busy,zajêty
eh,eh
mistake,b³¹d
kiss,poca³unek
court,s¹d
building,budynek
finish,koniec
during,w trakcie
age,wiek
ship,statek
caught,z³apany
marry,o¿eniæ
meant,oznacza³
sell,sprzedaæ
dark,ciemny
watching,ogl¹danie
system,system
suppose,przypuszczaæ
evidence,dowód
movie,film
ride,jeŸdziæ
t,t
completely,ca³kowicie
mouth,usta
totally,ca³kowicie
birthday,urodziny
tv,telewizja
forgive,przebaczyæ
born,urodziæ siê
imagine,wyobra¿aæ sobie
information,informacja
instead,zamiast
definitely,zdecydowanie
security,bezpieczeñstwo
certainly,z pewnoœci¹
film,film
month,miesi¹c
lying,k³amliwy
unless,chyba ¿e
train,poci¹g
seven,siedem
wear,nosiæ
clothes,odzie¿
michael,micha³
hotel,hotel
christmas,bo¿e narodzenie
attack,atak
hasn,had
round,okr¹g³y
expect,oczekiwaæ
sing,œpiewaæ
terrible,straszny
george,jerzy
bag,torba
history,historia
blue,niebieski
near,blisko
broke,zepsu³ siê
station,stacja
seriously,na serio
forever,na zawsze
david,david
frank,szczery
except,oprócz
thinks,myœli
message,wiadomoœæ
entire,ca³y
joe,joe
table,stó³
talked,rozmawia³em
across,przez
rock,g³az
lovely,œliczny
handle,uchwyt
middle,œrodek
buddy,kumpel
paid,p³atny
protect,chroniæ
using,za pomoc¹
floor,piêtro
ran,bieg³
swear,przeklinaæ
spend,spêdziæ
situation,sytuacja
ring,dzwoniæ
anywhere,gdziekolwiek
dangerous,niebezpieczny
bill,rachunek
york,york
army,armia
lead,o³ów
bought,kupi³
finished,skoñczone
fair,sprawiedliwy
sun,s³oñce
letter,list
fool,g³upiec
attention,uwaga
club,klub
simple,prosty
interesting,ciekawe
space,przestrzeñ
test,test
box,skrzynka
group,grupa
single,pojedynczy
sitting,posiedzenie
marriage,ma³¿eñstwo
join,przyst¹p
fear,strach
d,d
peace,pokój
forgot,zapomnia³em
force,zmuszaæ
short,niski
normal,normalna
charlie,charlie
present,teraŸniejszoœæ
enjoy,smacznego
mike,mikrofon
crime,przestêpczoœæ
horse,koñ
ground,grunt
american,amerykañski
count,liczyæ
area,powierzchnia
charge,op³ata
honor,zaszczyt
lunch,obiad
miles,mile
radio,radio
idiot,idiota
ball,pi³ka
surprise,niespodzianka
paper,papier
key,klucz
boat,³ódŸ
quickly,szybko
gold,z³oto
bar,bar
fish,ryba
mark,znak
tom,tomek
wearing,ma na sobie
crying,p³acz
accident,wypadek
government,rz¹d
eight,osiem
fell,spad³
cover,pokrywa
certain,pewny
interested,zainteresowany
deep,g³êboko
star,gwiazda
sea,morze
agree,zgodziæ siê
problems,problemy
detective,detektyw
prison,wiêzienie
major,powa¿ny
stick,stick
offer,oferta
difficult,trudny
smart,m¹dry
personal,osobisty
record,nagrywaæ
stopped,zatrzymany
hide,ukryæ
whether,czy
bank,bank
trip,wycieczka
relax,zrelaksowaæ siê
america,ameryka
public,publiczny
list,lista
afternoon,wieczór
brain,mózg
fix,naprawiæ
bastard,bêkart
proud,dumny
tea,herbata
service,us³uga
screaming,krzyczenie
forward,naprzód
angry,z³y
park,park
soul,dusza
fighting,walcz¹cy
peter,piotr
rich,bogaty
agent,agent
blow,cios
paul,pawe³
dress,sukienka
mary,mary
missed,pominiêty
scene,scena
killing,zabicie
standing,na stoj¹co
saved,uratowany
mm,mm
respect,poszanowanie
killer,zabójca
ice,lód
mess,ba³agan
tough,trudny
feels,odczucia
church,koœció³
sad,smutny
cell,komórka
drunk,pijany
share,dzieliæ
camera,aparat fotograficzny
mm-hmm,mm-hmm
within,w ci¹gu
card,karta
fly,lataæ
ben,ben
girlfriend,dziewczyna
laugh,œmiaæ siê
smell,zapach
broken,z³amany
mum,milcz¹cy
honest,uczciwy
often,czêsto
starting,startowy
calls,po³¹czenia
y,y
spent,zu¿yty
third,trzeci
english,jêzyk angielski
visit,wizyta
mama,mama
judge,sêdzia
window,okno
hungry,g³odny
dare,odwa¿yæ siê
relationship,relacja
moved,przeniós³
prove,udowodniæ
private,prywatny
wall,œciana
seat,siedzenie
i-i,i-i
position,pozycja
lieutenant,porucznik
realize,realizowaæ
lt,lt
especially,szczególnie
machine,maszyna
walking,pieszy
art,sztuka
pleasure,przyjemnoœæ
bloody,krwawy
college,szko³a wy¿sza
french,francuski
involved,zaanga¿owany
cry,p³akaæ
became,sta³ siê
lived,¿y³
impossible,niemo¿liwy
obviously,oczywiœcie
neither,¿aden
accept,zaakceptowaæ
boyfriend,ch³opak
besides,oprócz
queen,królowa
teacher,nauczyciel
cops,gliniarze
sake,wzgl¹d
loves,kocha
carry,mieæ przy sobie
teach,uczyæ
apartment,apartament
upset,smutny
green,zielony
la,la
liked,lubi³
cute,³adny
evil,z³o
professor,profesor
contact,kontakt
joke,¿art
cop,policjant
huge,olbrzymi
holy,œwiêty
store,sklep
jail,wiêzienie
likes,lubi
lawyer,prawnik
doubt,w¹tpiæ
continue,kontynuowaæ
appreciate,doceniaæ
cat,kot
shop,sklep
driving,napêdowy
congratulations,gratulacje
wrote,napisa³
village,wieœ
quit,zrezygnowaæ
field,pole
james,james
wine,wino
decision,decyzja
south,po³udnie
sleeping,spanie
slow,wolny
laughter,œmiech
island,wyspa
glass,szk³o
beginning,pocz¹tek
cash,gotówka
dying,umieraj¹cy
hundred,sto
whose,którego
difference,ró¿nica
plane,samolot
push,naciskaæ
continues,trwa
mmm,mmm
singing,œpiewanie
eating,jedzenie
north,pó³noc
mrs,pani
tree,drzewo
madam,szanowna pani
gift,prezent
truck,ciê¿arówka
putting,umieszczanie
bear,niedŸwiedŸ
board,tablica
grab,chwyciæ
beer,piwo
stuck,zablokowany
magic,magia
support,pomoc
rules,zasady
grunts,chrz¹kniêcie
partner,partner
reach,zasiêg
wind,wiatr
colonel,pu³kownik
max,max
immediately,od razu
seconds,sekundy
thousand,tysi¹c
gives,daje
experience,doœwiadczenie
cheers,twoje zdrowie
victim,ofiara
upon,od
computer,komputer
christ,chrystus
planet,planeta
promised,obiecane
bus,autobus
henry,henz
dirty,brudny
search,szukaj
staying,przebywaj¹cy
dreams,sny
arrest,aresztowaæ
holding,trzymaæ
suddenly,nagle
usually,zwykle
lots,wiele
shoes,buty
er,er
jump,skok
rid,eliminowaæ
yo,siema
knock,pukanie
owe,byæ winnym
harry,z³upiæ
grow,rosn¹æ
worst,najgorszy
river,rzeka
aunt,ciotka
patient,pacjent
kitchen,kuchnia
aah,aah
fat,t³uszcz
passed,przeszed³
m,m
final,fina³
summer,lato
bob,pion
listening,s³uchaj¹cy
escape,ucieczka
everywhere,wszêdzie
moon,ksiê¿yc
arms,ramiona
turns,zakrêty
address,adres zamieszkania
ow,ow
match,mecz
gasps,sapps
grand,wielki
yep,tak
shh,shh
nervous,nerwowy
de,de
choose,wybieraæ
themselves,sobie
decide,zdecydowaæ
mate,kumpel
drinking,picie
press,naciœnij
bother,niepokoiæ
foot,stopa
hadn,had
blame,winiæ
crap,bzdury
drugs,leki
type,rodzaj
rings,pierœcienie
mission,misja
named,o nazwie
heaven,niebo
ii,ii
picked,doborowy
paris,pary¿
race,wyœcig
risk,ryzyko
books,ksi¹¿ki
further,dalej
danny,danny
action,akcja
allowed,dozwolony
orders,zamówienia
learned,nauczyli
price,cena ?
arrived,przyby³
nick,naciêcie
otherwise,inaczej
pictures,kino
fit,pasowaæ
smoke,paliæ
favor,przychylnoœæ
played,gra³
notice,zauwa¿yæ
awesome,wspania³y
smile,uœmiech
director,dyrektor
guard,stra¿nik
begin,zaczynaæ
spot,miejsce
surprised,zaskoczony
innocent,niewinny
narrator,narrator
herself,siê
london,londyn
feelings,uczucia
enemy,wróg
battle,bitwa
ourselves,my sami
alex,alex
dollars,dolary
allow,umo¿liwiæ
nine,dziewiêæ
gay,gay
department,dzia³
guilty,winny
apart,oprócz
earlier,wczeœniej
duty,obowi¹zek
jim,jim
suit,garnitur
bell,dzwon
west,zachód
legs,nogi
hero,bohater
destroy,zniszczyæ
stage,etap
bunch,garœæ
according,wed³ug
chicken,kurczak
bigger,wiêkszy
grunting,pochrz¹kiwanie
low,niski
helping,porcja jedzenia
admit,przyznawaæ
closed,zamkniête
names,nazwy
witness,œwiadek
upstairs,na górê
arm,ramiê
steal,kraœæ
jimmy,jimmy
kick,kopniêcie
twice,dwa razy
cross,krzy¿
ways,sposoby
sergeant,sier¿ant
indeed,rzeczywiœcie
gas,gaz
keeping,konserwacja
energy,energia
pregnant,w ci¹¿y
waste,marnotrawstwo
helped,pomóg³
fired,zwolniony z pracy
favorite,ulubiony
tony,tony
taste,smak
locked,zablokowany
places,miejsca
writing,pismo
adam,adam
brothers,bracia
starts,zaczyna siê
prince,ksi¹¿ê
form,formularz
sold,sprzedany
silly,g³upi
mention,wzmianka
build,budowaæ
throat,gard³o
hole,otwór
figured,wzorzysty
track,tor
ringing,dzwonienie
lock,zamek
leg,noga
above,nad
hiding,ukrywanie
steve,steve
seemed,wydawa³o siê
breakfast,œniadanie
engine,silnik
written,pisemny
complete,kompletny
video,wideo
applause,oklaski
however,jednak¿e
pressure,nacisk
fresh,œwie¿y
weapon,broñ
sky,niebo
ms.,sm.
stole,ukrad³em
study,nauka
burn,oparzenie
reading,czytanie
crowd,t³um
treat,leczyæ
roll,rolka
double,podwójnie
spirit,duch
danger,zagro¿enie
cost,koszt
empty,pusty
level,poziom
memory,pamiêæ
itself,samo
acting,gra aktorska
interest,odsetki
nose,nos
plans,plany
following,nastêpny
bathroom,³azienka
built,wybudowany
closer,bli¿szy
ray,promieñ
sarah,sarah
band,pasmo
groans,stêkanie
apparently,widocznie
excited,podekscytowany
richard,richard
losing,przegrywaj¹cy
animals,zwierz¹t
flight,lot
nature,natura
raise,podnieœæ
pop,muzyka pop
client,klient
bomb,bomba
neck,szyja
suspect,podejrzany
warm,ciep³y
extra,dodatkowy
bottle,butelka
van,awangarda
heavy,ciê¿ki
mommy,mamusia
dogs,psy
wild,dziki
ridiculous,œmieszny
simply,po prostu
lee,zawietrzny
animal,zwierzê
showed,pokazane
billy,mena¿ka
shooting,strzelanie
keeps,keeps
camp,obóz
guns,pistolety
medical,medyczny
shame,wstyd
hoping,maj¹c nadziejê
whom,kogo, komu
bird,ptak
majesty,majestat
flowers,kwiaty
famous,s³ynny
asleep,we œnie
beauty,piêkno
driver,kierowca
keys,klucze
rain,deszcz
awful,okropny
large,wielki
local,lokalny
deserve,zas³ugiwaæ
goddamn,przeklêty
stone,z³óg
jane,jane
grace,wdziêk
consider,rozwa¿aæ
weekend,weekend
wondering,zastanawianie siê
lay,k³aœæ
plenty,du¿o
willing,chêtny
pants,spodnie
sweetheart,kochanie
skin,skóra
excellent,doskona³y
asshole,dupek
beach,pla¿a
c,c
faith,wiara
beg,b³agaæ
fuckin,kurwa
responsible,odpowiedzialny
military,wojskowy
cheering,doping
opportunity,mo¿liwoœæ
common,wspólny
bottom,na dole
german,niemiecki
whoever,ktokolwiek
cook,gotowaæ
walked,szed³
papers,dokumenty to¿samoœci
justice,sprawiedliwoœæ
hall,hol
commander,dowódca
drug,lek
main,g³ówny
knife,nó¿
devil,diabe³
necessary,niezbêdny
although,chocia¿
princess,ksiê¿niczka
lights,œwiat³a
flying,lataj¹cy
dick,kutas
rose,ró¿a
knowing,porozumiewawczy
clearly,wyraŸnie
hat,kapelusz
agreed,zgoda
johnny,jasio
corner,naro¿nik
code,kod
note,notatka
tommy,tommy
due,nale¿ny
correct,prawid³owy
apologize,przepraszaæ
language,jêzyk
stars,gwiazdy
faster,szybciej
cars,samochody
folks,ludzie
bullshit,g³upie gadanie
i.,i.
fellow,kolega
several,kilka
grandma,babcia
shows,przedstawia
leader,lider
leaves,odchodzi
restaurant,restauracja
east,wschód
shouting,rozkrzyczany
blind,œlepy
ghost,duch
cup,puchar
gotten,got
tight,obcis³y
conversation,rozmowa
tells,mówi
lies,k³amstwa
nor,ani
pulled,poci¹gniêty
hanging,wisz¹ce
speed,prêdkoœæ
stories,historie
health,zdrowie
advice,rada
held,trzymany
uh-huh,uh huh
murdered,zamordowany
beyond,poza
rule,regu³a
hardly,prawie wcale
possibly,prawdopodobnie
inspector,inspektor
cousin,kuzyn
trial,test
emergency,nag³y wypadek
ought,powinien
eddie,eddie
somehow,jakoœ
hearing,przes³uchanie
states,pañstwa
account,rachunek
spoke,przemówi³
file,plik
understood,zrozumiany
angel,anio³
tape,taœma
milk,mleko
powerful,potê¿ny
weapons,bronie
practice,æwiczyæ
manager,mened¿er
pardon,pardon
vote,g³osowaæ
jake,jake
national,krajowy
career,kariera
minister,minister
super,super
taught,nauczony
robert,robert
biggest,najwiêkszy
plays,sztuki
natural,naturalny
dancing,taniec
copy,kopiuj
plus,plus
martin,jaskó³ka oknówka
cake,ciasto
freedom,wolnoœæ
among,wœród
breath,oddech
operation,operacja
chris,chris
crew,za³oga
challenge,wyzwanie
market,rynek
meat,miêso
towards,w stronê
bringing,przynosz¹cy
dropped,porzucone
student,student
lied,sk³ama³
strength,si³a
size,rozmiar
breathe,oddychaæ
color,kolor
monster,potwór
loud,g³oœno
photo,zdjêcie
aw,aw
nearly,prawie
sight,widok
greatest,najwiêkszy
games,gry
bridge,most
dressed,ubrany
arrested,aresztowany
horrible,okropny
coach,trener
planning,planowanie
checked,w kratê
breaking,³amanie
noticed,zauwa¿ony
fantastic,fantastyczny
screams,krzyki
serve,obs³ugiwaæ
ideas,pomys³y
investigation,dochodzenie
center,œrodek
older,starsze
pack,pakiet
soldiers,¿o³nierski
nonsense,nonsens
doc,doc
project,projekt
training,trening
example,przyk³ad
trick,sztuczka
prepared,przygotowany
science,nauki œcis³e
united,zjednoczony
travel,podró¿
incredible,niesamowite
grandpa,dziadek
paying,intratny
character,postaæ
teeth,zêby
criminal,kryminalista
charles,charles
chinese,chiñski
truly,naprawdê
honestly,szczerze
bro,bracie
survive,prze¿yæ
bobby,konstabl
target,cel
feed,karmiæ
nurse,pielêgniarka
e,mi
fake,podróbka
records,dokumentacja
breathing,oddechowy
sweetie,kochanie
numbers,liczby
oil,olej
suicide,samobójstwo
belong,nale¿eæ
whoo,whoo
perfectly,doskonale
amy,amy
forgotten,zapomniany
remain,pozostaæ
original,orygina³
papa,papa
onto,na
concerned,zainteresowany
credit,kredyt
ugh,ugh
invited,zaproszony
discuss,omówiæ
research,badania
easier,³atwiej
view,pogl¹d
chair,krzes³o
hurts,boli
strike,strajk
roger,zrozumia³em
fill,wype³niæ
condition,stan
mountain,góra
dr,dr
nowhere,nigdzie
sheriff,szeryf
kim,kim
turning,obrócenie
brown,br¹zowy
recognize,rozpoznaæ
heads,g³owy
audience,publicznoœæ
all,wszystko
jealous,zazdrosny
pretend,udawaæ
society,spo³eczeñstwo
finding,odkrycie
shirt,koszula
comfortable,wygodna
meaning,oznaczaj¹cy
guest,goœæ
pieces,sztuki
dry,suchy
letting,pozwalaj¹c
began,zacz¹³ siê
aye,zawsze
jeff,jeff
female,kobieta
release,wydanie
ho,ho
cards,karty
pray,módl siê
unfortunately,niestety
balls,kulki
destroyed,zniszczony
ended,zakoñczy³o siê
universe,wszechœwiat
prepare,przygotowaæ
opinion,opinia
movies,kino
soldier,¿o³nierz
wash,myæ siê
program,program
heat,ciep³o
usual,zwyk³y
ticket,bilet
stolen,skradziony
prefer,woleæ
aware,œwiadomy
surely,pewno
male,mê¿czyzna
base,baza
matters,spraw
lift,winda
lab,laboratorium
command,komenda
proof,dowód
cream,krem
selling,sprzedawanie
believed,wierzy³
create,stwórz
h,h
afford,pozwalaæ
sunday,niedziela
total,ca³kowity
dumb,g³upi
threw,rzuci³
france,francja
birth,narodziny
created,utworzony
realized,realizowany
british,brytyjski
noise,ha³as
nuts,orzechy
students,studenci
birds,ptaki
social,spo³eczny
brilliant,znakomity
bodies,cia³a
tie,krawat
opened,otwierany
ours,nasz
bucks,bucks
kevin,kevin
mister,pan
ugly,brzydki
ryan,ryan
focus,skupiaæ
dan,dan
opens,otwiera siê
exist,istnieæ
followed,po nim
england,anglia
draw,remis
purpose,zamiar
letters,listy
daniel,daniel
opening,otwarcie
bullet,pocisk
anna,ania
lately,ostatnio
stayed,zosta³
falling,spadaj¹cy
season,pora roku
ends,koñczy siê
suggest,sugerowaæ
joy,radoœæ
distance,dystans
responsibility,odpowiedzialnoœæ
whenever,zawsze, gdy
issue,kwestia
thousands,tysi¹ce
process,proces
sword,miecz
shower,kabina prysznicowa
weak,s³aby
