English,Polish
used,używany
idea,pomysł
knew,wiedziałem
hold,utrzymać
happy,szczęśliwy
door,drzwi
such,taki
fuck,pierdolić
brother,brat
also,również
pretty,ładny
bit,fragment
took,wzięła
haven,przystań
yet,już
men,mężczyźni
whole,cały
start,początek
use,posługiwać się
while,podczas gdy
since,odkąd
wife,żona
days,dni
guess,zgadywać
tomorrow,jutro
matter,materiał
meet,spotykać się
bring,przynieść
tonight,dziś wieczorem
everyone,każdy
run,biegać
wanna,chcieć
hard,ciężko
ah,ah
alone,sam
myself,ja
school,szkoła
gone,odszedł
um,um
end,koniec
saying,powiedzenie
phone,telefon
play,bawić się
looks,wygląd
couldn,czy mógł
fucking,pierdolony
problem,problem
few,mało
friends,przyjaciele
gotta,musieć
ago,temu
open,otwarty
anyone,ktokolwiek
killed,zabity
hope,nadzieja
face,twarz
until,aż do
lost,stracony
police,policja
excuse,wymówka
turn,skręcać
business,biznes
case,walizka
wants,chce
says,mówi
TRUE,PRAWDA
die,umierać
heart,serce
soon,wkrótce
each,każdy
worry,martwić się
later,później
year,rok
watch,zegarek
music,muzyka
hand,ręka
having,mający
probably,prawdopodobnie
beautiful,piękny
doctor,lekarz
sit,siedzieć
eat,jeść
thinking,myślący
young,młody
second,druga
working,pracujący
water,woda
person,osoba
part,część
kids,dzieci
late,późno
stuff,rzeczy
exactly,dokładnie
under,pod
death,śmierć
minute,minuta
pay,płacić
crazy,zwariowany
forget,zapominać
everybody,wszyscy
kid,dziecko
change,zmiana
gave,dał
happen,zdarzyć
damn,cholerny
five,pięć
drink,drink
far,daleko
knows,wie
its,jego
whatever,cokolwiek
eyes,oczy
shut,zamknąć
aren,aren
hit,uderzyć
taking,nabierający
easy,łatwo
times,czasy
check,sprawdzać
hands,ręce
minutes,minuty
deal,sprawa
different,różne
means,oznacza
point,punkt
inside,w środku
makes,robi
asked,spytał
somebody,ktoś
mine,moje
making,zrobienie
body,ciało
afraid,przestraszony
sleep,spać
chance,szansa
dear,droga
quite,całkiem
four,cztery
anyway,w każdym razie
close,blisko
ain,ain
party,przyjęcie
fun,zabawa
against,przeciwko
word,słowo
comes,pochodzi
important,ważny
set,ustawić
shall,być
story,fabuła
number,numer
daughter,córka
least,najmniej
waiting,czekanie
hurt,zraniony
wish,życzenie
moment,za chwilę
fight,walka
week,tydzień
husband,mąż
girls,dziewczyny
rest,reszta
married,żonaty
fire,ogień
game,gra
nobody,nikt
mr,pan
children,dzieci
side,bok
stand,stoisko
read,czytać
though,chociaż
cut,skaleczenie
started,zaczęła się
sister,siostra
supposed,przypuszczalny
between,pomiędzy
child,dziecko
goes,idzie
hours,godziny
speak,mówić
women,kobiety
behind,za
almost,prawie
truth,PRAWDA
blood,krew
able,zdolny
lady,dama
anymore,nie więcej
playing,gra
gets,dostaje
shot,strzał
reason,powód
trouble,kłopot
break,przerwanie
war,wojna
city,miasto
walk,spcerować
town,miasto
trust,zaufanie
dr.,dr.
met,spotkał
office,gabinet
question,pytanie
brought,przyniósł
yours,twój
welcome,witam
high,wysoki
wow,wow
couple,para
half,połowa
died,zmarł
cool,fajny
free,darmowy
either,zarówno
seems,wydaje się
power,moc
whoa,whoa
bye,pa
buy,kup
telling,wymowny
honey,miód
tried,wypróbowany
front,przód
team,zespół
answer,odpowiadać
gun,pistolet
boys,chłopcy
line,linia
send,wysłać
news,aktualności
stupid,głupi
bed,łóżko
hurry,spieszyć się
full,pełny
months,miesiące
save,ratować
sometimes,czasami
become,stać się
along,przed siebie
hate,nienawidzić
food,jedzenie
outside,poza
light,światło
l,l
needs,wymagania
dog,pies
country,kraj
clear,jasne
order,zamówienie
em,em
fact,fakt
lord,lord
captain,kapitan
six,sześć
hot,gorący
funny,zabawny
black,czarny
mrs.,pani.
alive,żywy
pick,wybierać
feeling,uczucie
living,żyjący
cause,przyczyna
ahead,dalej
lose,stracić
king,król
plan,plan
dinner,obiad
sighs,wzdycha
sort,sortować
leaving,odjazd
shouldn,powinien
running,działanie
boss,szef
alright,w porządku
promise,obietnica
taken,zajęty
safe,bezpieczny
ma,mama
book,książka
sent,wysłano
white,biały
hour,godzina
anybody,ktoś
small,mały
perfect,idealny
cause,przyczyna
lives,zyje
special,specjalny
parents,rodzice
s,s
john,jan
himself,samego siebie
perhaps,być może
sounds,dźwięki
serious,poważny
sick,chory
company,firma
ha,ha
scared,przestraszony
uncle,wujek
poor,słaby
red,czerwony
past,po
earth,ziemia
possible,możliwy
shoot,strzelać
touch,dotykać
sound,dźwięk
top,top
ass,tyłek
laughs,śmiech
cannot,nie mogę
asking,pytając
win,wygrać
glad,zadowolony
control,kontrola
hmm,hmm
human,człowiek
drive,prowadzić
hair,włosy
jack,jacek
bitch,suka
luck,szczęście
murder,morderstwo
happens,dzieje się
air,powietrze
ten,dziesięć
daddy,tatuś
finally,wreszcie
chuckles,chichocze
fast,szybki
cold,przeziębienie
seem,wydać się
laughing,śmiać się
words,słowa
hospital,szpital
street,ulica
hang,powiesić
dance,taniec
meeting,spotkanie
till,do
others,inni
catch,złapać
follow,śledzić
sense,sens
sex,seks
lie,kłamstwo
evening,wieczór
master,gospodarz
known,znany
dream,śnić
write,pisać
million,milion
voice,głos
sweet,słodkie
rather,raczej
felt,filc
sign,podpisać
lucky,szczęściarz
somewhere,gdzieś
bet,zakład
o,o
jesus,jezus
longer,dłużej
calling,powołanie
worked,pracował
quiet,cichy
looked,wyglądał
less,mniej
pull,ciągnąć
beat,bić
careful,ostrożny
coffee,kawa
return,zwrócić
secret,sekret
weeks,tygodnie
weren,weren
date,data
seeing,widzenie
fall,spadek
given,dany
ooh,ooh
fault,wada
straight,proste
takes,trwa
song,utwór muzyczny
future,przyszły
gentlemen,panowie
loved,kochany
changed,zmienione
road,droga
calm,spokojna
wonderful,wspaniale
mad,szalony
turned,obrócony
drop,upuszczać
ladies,damski
learn,uczyć się
step,krok
absolutely,absolutnie
early,wczesny
explain,wyjaśnić
clean,czysty
piece,kawałek
yesterday,wczoraj
throw,rzucić
picture,obrazek
land,grunt
feet,stopy
wonder,cud
questions,pytania
speaking,mówienie
worth,wartość
darling,kochanie
dude,koleś
giving,dający
president,prezydent
eye,oko
quick,szybki
moving,poruszający
figure,postać
state,państwo
strong,silny
sam,sam
none,żaden
amazing,zdumiewający
ones,te
works,pracuje
act,akt
needed,potrzebne
weird,dziwny
law,prawo
worried,zmartwiony
report,raport
goodbye,do widzenia
missing,zaginiony
choice,wybór
happening,wydarzenie
chief,szef
wedding,ślub
strange,dziwny
general,ogólny
pain,ból
am,jestem
kidding,żart
decided,zdecydowany
ya,ya
pass,podawać
tired,zmęczony
class,klasa
officer,oficer
kept,trzymane
wake,budzić
worse,gorzej
busy,zajęty
eh,eh
mistake,błąd
kiss,pocałunek
court,sąd
building,budynek
finish,koniec
during,w trakcie
age,wiek
ship,statek
caught,złapany
marry,ożenić
meant,oznaczał
sell,sprzedać
dark,ciemny
watching,oglądanie
system,system
suppose,przypuszczać
evidence,dowód
movie,film
ride,jeździć
t,t
completely,całkowicie
mouth,usta
totally,całkowicie
birthday,urodziny
tv,telewizja
forgive,przebaczyć
born,urodzić się
imagine,wyobrażać sobie
information,informacja
instead,zamiast
definitely,zdecydowanie
security,bezpieczeństwo
certainly,z pewnością
film,film
month,miesiąc
lying,kłamliwy
unless,chyba że
train,pociąg
seven,siedem
wear,nosić
clothes,odzież
michael,michał
hotel,hotel
christmas,boże narodzenie
attack,atak
hasn,had
round,okrągły
expect,oczekiwać
sing,śpiewać
terrible,straszny
george,jerzy
bag,torba
history,historia
blue,niebieski
near,blisko
broke,zepsuł się
station,stacja
seriously,na serio
forever,na zawsze
david,david
frank,szczery
except,oprócz
thinks,myśli
message,wiadomość
entire,cały
joe,joe
table,stół
talked,rozmawiałem
across,przez
rock,głaz
lovely,śliczny
handle,uchwyt
middle,środek
buddy,kumpel
paid,płatny
protect,chronić
using,za pomocą
floor,piętro
ran,biegł
swear,przeklinać
spend,spędzić
situation,sytuacja
ring,dzwonić
anywhere,gdziekolwiek
dangerous,niebezpieczny
bill,rachunek
york,york
army,armia
lead,ołów
bought,kupił
finished,skończone
fair,sprawiedliwy
sun,słońce
letter,list
fool,głupiec
attention,uwaga
club,klub
simple,prosty
interesting,ciekawe
space,przestrzeń
test,test
box,skrzynka
group,grupa
single,pojedynczy
sitting,posiedzenie
marriage,małżeństwo
join,przystąp
fear,strach
d,d
peace,pokój
forgot,zapomniałem
force,zmuszać
short,niski
normal,normalna
charlie,charlie
present,teraźniejszość
enjoy,smacznego
mike,mikrofon
crime,przestępczość
horse,koń
ground,grunt
american,amerykański
count,liczyć
area,powierzchnia
charge,opłata
honor,zaszczyt
lunch,obiad
miles,mile
radio,radio
idiot,idiota
ball,piłka
surprise,niespodzianka
paper,papier
key,klucz
boat,łódź
quickly,szybko
gold,złoto
bar,bar
fish,ryba
mark,znak
tom,tomek
wearing,ma na sobie
crying,płacz
accident,wypadek
government,rząd
eight,osiem
fell,spadł
cover,pokrywa
certain,pewny
interested,zainteresowany
deep,głęboko
star,gwiazda
sea,morze
agree,zgodzić się
problems,problemy
detective,detektyw
prison,więzienie
major,poważny
stick,stick
offer,oferta
difficult,trudny
smart,mądry
personal,osobisty
record,nagrywać
stopped,zatrzymany
hide,ukryć
whether,czy
bank,bank
trip,wycieczka
relax,zrelaksować się
america,ameryka
public,publiczny
list,lista
afternoon,wieczór
brain,mózg
fix,naprawić
bastard,bękart
proud,dumny
tea,herbata
service,usługa
screaming,krzyczenie
forward,naprzód
angry,zły
park,park
soul,dusza
fighting,walczący
peter,piotr
rich,bogaty
agent,agent
blow,cios
paul,paweł
dress,sukienka
mary,mary
missed,pominięty
scene,scena
killing,zabicie
standing,na stojąco
saved,uratowany
mm,mm
respect,poszanowanie
killer,zabójca
ice,lód
mess,bałagan
tough,trudny
feels,odczucia
church,kościół
sad,smutny
cell,komórka
drunk,pijany
share,dzielić
camera,aparat fotograficzny
mm-hmm,mm-hmm
within,w ciągu
card,karta
fly,latać
ben,ben
girlfriend,dziewczyna
laugh,śmiać się
smell,zapach
broken,złamany
mum,milczący
honest,uczciwy
often,często
starting,startowy
calls,połączenia
y,y
spent,zużyty
third,trzeci
english,język angielski
visit,wizyta
mama,mama
judge,sędzia
window,okno
hungry,głodny
dare,odważyć się
relationship,relacja
moved,przeniósł
prove,udowodnić
private,prywatny
wall,ściana
seat,siedzenie
i-i,i-i
position,pozycja
lieutenant,porucznik
realize,realizować
lt,lt
especially,szczególnie
machine,maszyna
walking,pieszy
art,sztuka
pleasure,przyjemność
bloody,krwawy
college,szkoła wyższa
french,francuski
involved,zaangażowany
cry,płakać
became,stał się
lived,żył
impossible,niemożliwy
obviously,oczywiście
neither,żaden
accept,zaakceptować
boyfriend,chłopak
besides,oprócz
queen,królowa
teacher,nauczyciel
cops,gliniarze
sake,wzgląd
loves,kocha
carry,mieć przy sobie
teach,uczyć
apartment,apartament
upset,smutny
green,zielony
la,la
liked,lubił
cute,ładny
evil,zło
professor,profesor
contact,kontakt
joke,żart
cop,policjant
huge,olbrzymi
holy,święty
store,sklep
jail,więzienie
likes,lubi
lawyer,prawnik
doubt,wątpić
continue,kontynuować
appreciate,doceniać
cat,kot
shop,sklep
driving,napędowy
congratulations,gratulacje
wrote,napisał
village,wieś
quit,zrezygnować
field,pole
james,james
wine,wino
decision,decyzja
south,południe
sleeping,spanie
slow,wolny
laughter,śmiech
island,wyspa
glass,szkło
beginning,początek
cash,gotówka
dying,umierający
hundred,sto
whose,którego
difference,różnica
plane,samolot
push,naciskać
continues,trwa
mmm,mmm
singing,śpiewanie
eating,jedzenie
north,północ
mrs,pani
tree,drzewo
madam,szanowna pani
gift,prezent
truck,ciężarówka
putting,umieszczanie
bear,niedźwiedź
board,tablica
grab,chwycić
beer,piwo
stuck,zablokowany
magic,magia
support,pomoc
rules,zasady
grunts,chrząknięcie
partner,partner
reach,zasięg
wind,wiatr
colonel,pułkownik
max,max
immediately,od razu
seconds,sekundy
thousand,tysiąc
gives,daje
experience,doświadczenie
cheers,twoje zdrowie
victim,ofiara
upon,od
computer,komputer
christ,chrystus
planet,planeta
promised,obiecane
bus,autobus
henry,henz
dirty,brudny
search,szukaj
staying,przebywający
dreams,sny
arrest,aresztować
holding,trzymać
suddenly,nagle
usually,zwykle
lots,wiele
shoes,buty
er,er
jump,skok
rid,eliminować
yo,siema
knock,pukanie
owe,być winnym
harry,złupić
grow,rosnąć
worst,najgorszy
river,rzeka
aunt,ciotka
patient,pacjent
kitchen,kuchnia
aah,aah
fat,tłuszcz
passed,przeszedł
m,m
final,finał
summer,lato
bob,pion
listening,słuchający
escape,ucieczka
everywhere,wszędzie
moon,księżyc
arms,ramiona
turns,zakręty
address,adres zamieszkania
ow,ow
match,mecz
gasps,sapps
grand,wielki
yep,tak
shh,shh
nervous,nerwowy
de,de
choose,wybierać
themselves,sobie
decide,zdecydować
mate,kumpel
drinking,picie
press,naciśnij
bother,niepokoić
foot,stopa
hadn,had
blame,winić
crap,bzdury
drugs,leki
type,rodzaj
rings,pierścienie
mission,misja
named,o nazwie
heaven,niebo
ii,ii
picked,doborowy
paris,paryż
race,wyścig
risk,ryzyko
books,książki
further,dalej
danny,danny
action,akcja
allowed,dozwolony
orders,zamówienia
learned,nauczyli
price,cena ?
arrived,przybył
nick,nacięcie
otherwise,inaczej
pictures,kino
fit,pasować
smoke,palić
favor,przychylność
played,grał
notice,zauważyć
awesome,wspaniały
smile,uśmiech
director,dyrektor
guard,strażnik
begin,zaczynać
spot,miejsce
surprised,zaskoczony
innocent,niewinny
narrator,narrator
herself,się
london,londyn
feelings,uczucia
enemy,wróg
battle,bitwa
ourselves,my sami
alex,alex
dollars,dolary
allow,umożliwić
nine,dziewięć
gay,gay
department,dział
guilty,winny
apart,oprócz
earlier,wcześniej
duty,obowiązek
jim,jim
suit,garnitur
bell,dzwon
west,zachód
legs,nogi
hero,bohater
destroy,zniszczyć
stage,etap
bunch,garść
according,według
chicken,kurczak
bigger,większy
grunting,pochrząkiwanie
low,niski
helping,porcja jedzenia
admit,przyznawać
closed,zamknięte
names,nazwy
witness,świadek
upstairs,na górę
arm,ramię
steal,kraść
jimmy,jimmy
kick,kopnięcie
twice,dwa razy
cross,krzyż
ways,sposoby
sergeant,sierżant
indeed,rzeczywiście
gas,gaz
keeping,konserwacja
energy,energia
pregnant,w ciąży
waste,marnotrawstwo
helped,pomógł
fired,zwolniony z pracy
favorite,ulubiony
tony,tony
taste,smak
locked,zablokowany
places,miejsca
writing,pismo
adam,adam
brothers,bracia
starts,zaczyna się
prince,książę
form,formularz
sold,sprzedany
silly,głupi
mention,wzmianka
build,budować
throat,gardło
hole,otwór
figured,wzorzysty
track,tor
ringing,dzwonienie
lock,zamek
leg,noga
above,nad
hiding,ukrywanie
steve,steve
seemed,wydawało się
breakfast,śniadanie
engine,silnik
written,pisemny
complete,kompletny
video,wideo
applause,oklaski
however,jednakże
pressure,nacisk
fresh,świeży
weapon,broń
sky,niebo
ms.,sm.
stole,ukradłem
study,nauka
burn,oparzenie
reading,czytanie
crowd,tłum
treat,leczyć
roll,rolka
double,podwójnie
spirit,duch
danger,zagrożenie
cost,koszt
empty,pusty
level,poziom
memory,pamięć
itself,samo
acting,gra aktorska
interest,odsetki
nose,nos
plans,plany
following,następny
bathroom,łazienka
built,wybudowany
closer,bliższy
ray,promień
sarah,sarah
band,pasmo
groans,stękanie
apparently,widocznie
excited,podekscytowany
richard,richard
losing,przegrywający
animals,zwierząt
flight,lot
nature,natura
raise,podnieść
pop,muzyka pop
client,klient
bomb,bomba
neck,szyja
suspect,podejrzany
warm,ciepły
extra,dodatkowy
bottle,butelka
van,awangarda
heavy,ciężki
mommy,mamusia
dogs,psy
wild,dziki
ridiculous,śmieszny
simply,po prostu
lee,zawietrzny
animal,zwierzę
showed,pokazane
billy,menażka
shooting,strzelanie
keeps,keeps
camp,obóz
guns,pistolety
medical,medyczny
shame,wstyd
hoping,mając nadzieję
whom,kogo, komu
bird,ptak
majesty,majestat
flowers,kwiaty
famous,słynny
asleep,we śnie
beauty,piękno
driver,kierowca
keys,klucze
rain,deszcz
awful,okropny
large,wielki
local,lokalny
deserve,zasługiwać
goddamn,przeklęty
stone,złóg
jane,jane
grace,wdzięk
consider,rozważać
weekend,weekend
wondering,zastanawianie się
lay,kłaść
plenty,dużo
willing,chętny
pants,spodnie
sweetheart,kochanie
skin,skóra
excellent,doskonały
asshole,dupek
beach,plaża
c,c
faith,wiara
beg,błagać
fuckin,kurwa
responsible,odpowiedzialny
military,wojskowy
cheering,doping
opportunity,możliwość
common,wspólny
bottom,na dole
german,niemiecki
whoever,ktokolwiek
cook,gotować
walked,szedł
papers,dokumenty tożsamości
justice,sprawiedliwość
hall,hol
commander,dowódca
drug,lek
main,główny
knife,nóż
devil,diabeł
necessary,niezbędny
although,chociaż
princess,księżniczka
lights,światła
flying,latający
dick,kutas
rose,róża
knowing,porozumiewawczy
clearly,wyraźnie
hat,kapelusz
agreed,zgoda
johnny,jasio
corner,narożnik
code,kod
note,notatka
tommy,tommy
due,należny
correct,prawidłowy
apologize,przepraszać
language,język
stars,gwiazdy
faster,szybciej
cars,samochody
folks,ludzie
bullshit,głupie gadanie
i.,i.
fellow,kolega
several,kilka
grandma,babcia
shows,przedstawia
leader,lider
leaves,odchodzi
restaurant,restauracja
east,wschód
shouting,rozkrzyczany
blind,ślepy
ghost,duch
cup,puchar
gotten,got
tight,obcisły
conversation,rozmowa
tells,mówi
lies,kłamstwa
nor,ani
pulled,pociągnięty
hanging,wiszące
speed,prędkość
stories,historie
health,zdrowie
advice,rada
held,trzymany
uh-huh,uh huh
murdered,zamordowany
beyond,poza
rule,reguła
hardly,prawie wcale
possibly,prawdopodobnie
inspector,inspektor
cousin,kuzyn
trial,test
emergency,nagły wypadek
ought,powinien
eddie,eddie
somehow,jakoś
hearing,przesłuchanie
states,państwa
account,rachunek
spoke,przemówił
file,plik
understood,zrozumiany
angel,anioł
tape,taśma
milk,mleko
powerful,potężny
weapons,bronie
practice,ćwiczyć
manager,menedżer
pardon,pardon
vote,głosować
jake,jake
national,krajowy
career,kariera
minister,minister
super,super
taught,nauczony
robert,robert
biggest,największy
plays,sztuki
natural,naturalny
dancing,taniec
copy,kopiuj
plus,plus
martin,jaskółka oknówka
cake,ciasto
freedom,wolność
among,wśród
breath,oddech
operation,operacja
chris,chris
crew,załoga
challenge,wyzwanie
market,rynek
meat,mięso
towards,w stronę
bringing,przynoszący
dropped,porzucone
student,student
lied,skłamał
strength,siła
size,rozmiar
breathe,oddychać
color,kolor
monster,potwór
loud,głośno
photo,zdjęcie
aw,aw
nearly,prawie
sight,widok
greatest,największy
games,gry
bridge,most
dressed,ubrany
arrested,aresztowany
horrible,okropny
coach,trener
planning,planowanie
checked,w kratę
breaking,łamanie
noticed,zauważony
fantastic,fantastyczny
screams,krzyki
serve,obsługiwać
ideas,pomysły
investigation,dochodzenie
center,środek
older,starsze
pack,pakiet
soldiers,żołnierski
nonsense,nonsens
doc,doc
project,projekt
training,trening
example,przykład
trick,sztuczka
prepared,przygotowany
science,nauki ścisłe
united,zjednoczony
travel,podróż
incredible,niesamowite
grandpa,dziadek
paying,intratny
character,postać
teeth,zęby
criminal,kryminalista
charles,charles
chinese,chiński
truly,naprawdę
honestly,szczerze
bro,bracie
survive,przeżyć
bobby,konstabl
target,cel
feed,karmić
nurse,pielęgniarka
e,mi
fake,podróbka
records,dokumentacja
breathing,oddechowy
sweetie,kochanie
numbers,liczby
oil,olej
suicide,samobójstwo
belong,należeć
whoo,whoo
perfectly,doskonale
amy,amy
forgotten,zapomniany
remain,pozostać
original,oryginał
papa,papa
onto,na
concerned,zainteresowany
credit,kredyt
ugh,ugh
invited,zaproszony
discuss,omówić
research,badania
easier,łatwiej
view,pogląd
chair,krzesło
hurts,boli
strike,strajk
roger,zrozumiałem
fill,wypełnić
condition,stan
mountain,góra
dr,dr
nowhere,nigdzie
sheriff,szeryf
kim,kim
turning,obrócenie
brown,brązowy
recognize,rozpoznać
heads,głowy
audience,publiczność
all,wszystko
jealous,zazdrosny
pretend,udawać
society,społeczeństwo
finding,odkrycie
shirt,koszula
comfortable,wygodna
meaning,oznaczający
guest,gość
pieces,sztuki
dry,suchy
letting,pozwalając
began,zaczął się
aye,zawsze
jeff,jeff
female,kobieta
release,wydanie
ho,ho
cards,karty
pray,módl się
unfortunately,niestety
balls,kulki
destroyed,zniszczony
ended,zakończyło się
universe,wszechświat
prepare,przygotować
opinion,opinia
movies,kino
soldier,żołnierz
wash,myć się
program,program
heat,ciepło
usual,zwykły
ticket,bilet
stolen,skradziony
prefer,woleć
aware,świadomy
surely,pewno
male,mężczyzna
base,baza
matters,spraw
lift,winda
lab,laboratorium
command,komenda
proof,dowód
cream,krem
selling,sprzedawanie
believed,wierzył
create,stwórz
h,h
afford,pozwalać
sunday,niedziela
total,całkowity
dumb,głupi
threw,rzucił
france,francja
birth,narodziny
created,utworzony
realized,realizowany
british,brytyjski
noise,hałas
nuts,orzechy
students,studenci
birds,ptaki
social,społeczny
brilliant,znakomity
bodies,ciała
tie,krawat
opened,otwierany
ours,nasz
bucks,bucks
kevin,kevin
mister,pan
ugly,brzydki
ryan,ryan
focus,skupiać
dan,dan
opens,otwiera się
exist,istnieć
followed,po nim
england,anglia
draw,remis
purpose,zamiar
letters,listy
daniel,daniel
opening,otwarcie
bullet,pocisk
anna,ania
lately,ostatnio
stayed,został
falling,spadający
season,pora roku
ends,kończy się
suggest,sugerować
joy,radość
distance,dystans
responsibility,odpowiedzialność
whenever,zawsze, gdy
issue,kwestia
thousands,tysiące
process,proces
sword,miecz
shower,kabina prysznicowa
weak,słaby
fucked,pieprzony
lonely,samotny
happiness,szczęście
eric,eric
tiny,malutki
desk,biurko
pool,basen
property,własność
forced,wymuszony
settle,rozstrzygnąć
indistinct,niewyraźny
weight,waga
received,odebrane
gang,banda
bite,ugryzienie
friday,piątek
disappeared,zniknął
interview,wywiad
expecting,przy nadziei
kinda,poniekąd
surgery,chirurgia
horses,konie
mayor,burmistrz
babe,dziecko
ancient,starożytny
handsome,przystojny
thomas,tomasz
saturday,sobota
staff,personel
lines,linie
unit,jednostka
fan,miłośnik
gentleman,pan
introduce,przedstawiać
fate,los
split,rozdzielać
recently,ostatnio
expected,spodziewany
add,dodaj
ordered,zamówiono
slowly,powoli
alarm,alarm
member,członek
slept,spał
signed,podpisane
enter,wejść
spanish,hiszpański
garden,ogród
brings,przynosi
brave,odważny
pig,świnia
model,model
finger,palec
medicine,lekarstwo
access,dostęp
failed,przegrany
flat,mieszkanie
easily,z łatwością
discovered,odkryty
based,na podstawie
screw,śruba
insane,obłąkany
cares,troszczy się
weather,pogoda
fingers,palce
san,san
scott,scott
path,ścieżka
soft,miękki
harm,zaszkodzić
style,styl
community,wspólnota
sees,widzi
basically,zasadniczo
al,glin
signal,sygnał
nope,nie
spare,zapasowy
speech,przemówienie
covered,pokryty
shake,potrząsnąć
loose,luźny
snow,śnieg
russian,rosyjski
lake,jezioro
bright,jasny
roof,dach
ohh,ohh
sending,wysyłanie
paint,farba
remind,przypominać
pal,kumpel
naked,nagi
post,poczta
sugar,cukier
heading,nagłówek
streets,ulice
damage,szkoda
silence,cisza
doors,drzwi
pete,pete
ed,wyd
success,powodzenie
wet,mokro
nah,nie
amount,ilość
members,członkowie
kate,kate
manage,zarządzać
safety,bezpieczeństwo
returned,zwrócony
harder,trudniej
fbi,fbi
block,blok
showing,seans
fancy,wymyślny
chef,szef kuchni
contract,kontrakt
dig,kopać
chest,skrzynia
good-bye,do widzenia
drinks,napoje
dave,dave
buried,pochowany
brian,brian
trade,handel
journey,podróż
stomach,żołądek
changes,zmiany
details,detale
thoughts,myśli
divorce,rozwód
funeral,pogrzeb
maria,maria
football,piłka nożna
reality,rzeczywistość
theory,teoria
gosh,boże
ruined,zrujnowany
gate,brama
william,william
spread,rozpiętość
outta,outta
japanese,język japoński
sudden,nagły
coat,płaszcz
sooner,wcześniej
cheese,ser
larry,larry
spring,wiosna
page,strona
ears,uszy
simon,szymon
castle,zamek
hidden,ukryty
storm,burza
cos,sałata
personally,osobiście
artist,artysta
